"background","knock_in","background_fun.mean","background_fun.sd","delta_fun.mean","delta_fun.sd"
"Ap,Mp,Pk,Sc8,Sp","Ku",0.847916666666667,0.0127555216801719,-0.0495666666666667,0.0190823434968909
"Hop,Pk,Sp,Wa,Zb","Ku",0.71805,0.0275363396260287,0.00648333333333336,0.0149434210719411
"Hop,Pk,Sc5,Sp,Wa,Zb","Ku",0.81875,0.0291098351077432,-0.0548666666666667,0.0313449092092054
"Hop,Pk,Sc8,Sp,Wa,Zb","Ku",0.847933333333333,0.00933505936421049,-0.0178666666666667,0.0056005208091153
"Lt,Sp","Ku",0.927316666666667,0.0645477794609027,-0.00678333333333336,0.0617250826919926
"Ap,Sp,Td,Wa","Ku",0.698416666666667,0.025194460369957,0.0162499999999999,0.0123226417622196
"Ap,Sc5,Sp,Td,Wa","Ku",0.9604,0.00144222051018562,-0.0543666666666667,0.0149199810098181
"Ap,Sc8,Sp,Td,Wa","Ku",0.960416666666667,0.00144597141511623,-0.0368333333333334,0.0118722716163897
"Ap,Hop,Mp,Zb","Ku",0.344816666666667,0.00926800050352467,0.0916666666666667,0.0392334784760839
"Ap,Hop,Mp,Sc5,Zb","Ku",0.845783333333333,0.0163571340195443,-0.0983333333333333,0.0269845480476019
"Ap,Hop,Mp,Sc8,Zb","Ku",0.899416666666667,0.00498556248916139,-0.0651,0.00373229152130434
"Lt,Mp,Pk,Td,Wa","Ku",0.715516666666667,0.015860748195887,-0.0387166666666667,0.0388968293480758
"Lt,Mp,Pk,Sc5,Td,Wa","Ku",0.807883333333333,0.0350690865768319,-0.0295,0.0202109500024121
"Lt,Mp,Pk,Sc8,Td,Wa","Ku",0.81255,0.0440799557622282,-0.0125666666666667,0.0565752669753606
"Lt,Mp,Pk,Wa,Zb","Ku",0.682233333333333,0.00917828052160829,0.0339833333333334,0.0261729981724169
"Lt,Mp,Pk,Sc5,Wa,Zb","Ku",0.87625,0.0144437702834129,-0.0560833333333334,0.0404552015609036
"Lt,Mp,Pk,Sc8,Wa,Zb","Ku",0.892633333333333,0.028125181480896,-0.0692333333333334,0.00847353723856418
"Pk,Td,Wa,Zb","Ku",0.60135,0.0154910458007198,-0.045,0.0308614241408267
"Pk,Sc5,Td,Wa,Zb","Ku",0.8625,0.0356771285279519,-0.06525,0.0250885930255166
"Pk,Sc8,Td,Wa,Zb","Ku",0.838533333333333,0.0278721336343907,-0.0427666666666667,0.00912720293043459
"Td,Wa,Zb","Ku",0.68805,0.0237419460028027,0.00239999999999992,0.0510397639101122
"Sc5,Td,Wa,Zb","Ku",0.947333333333333,0.00759939690589549,-0.0617166666666667,0.00655311630702022
"Sc8,Td,Wa,Zb","Ku",0.942516666666667,0.018657594521624,-0.0298166666666666,0.00369605645700027
"Lt,Mp,Pk,Wa","Ku",0.721516666666667,0.0116084380229784,-0.0389833333333334,0.00727741941441692
"Lt,Mp,Pk,Sc5,Wa","Ku",0.896216666666667,0.0287429266661092,-0.0966833333333333,0.0230311926163917
"Lt,Mp,Pk,Sc8,Wa","Ku",0.8915,0.0136445043882143,-0.0584666666666667,0.0323562332995257
"Ap,Hop,Mp,Td,Wa","Ku",0.435566666666667,0.0293014646960409,-0.1192,0.0287009146195727
"Ap,Hop,Mp,Sc5,Td,Wa","Ku",0.808666666666667,0.0193394889625691,-0.0843333333333333,0.0275119216583163
"Ap,Hop,Mp,Sc8,Td,Wa","Ku",0.85495,0.0409337269253607,-0.0764166666666666,0.00891043395875503
"Hop","Ku",0.414283333333333,0.167803280162616,0.000366666666666663,0.208785741451214
"Ap","Ku",0.344983333333333,0.0258364245462358,0.0909333333333333,0.0838667146926201
"","Ku",0,0,0.521916666666667,0.118528945128746
"Mp","Ku",0.343833333333333,0.125660428669225,-0.196816666666667,0.0830077757401879
"Pk","Ku",0.27805,0.0306466556087284,-0.119983333333333,0.00770005411236399
"Td","Ku",0.839533333333333,0.0222884686179499,-0.3369,0.00661891229734919
"Lt","Ku",0.95405,0.000867467578644874,-0.233983333333333,0.0395506742462544
"Sp","Ku",0.952666666666667,0.000453688586293823,-0.5953,0.0150189879818847
"Wa","Ku",0.292616666666667,0.00775650264831602,0.0191,0.0723905553231911
"Zb","Ku",0.448016666666667,0.0398236843264575,0.157466666666667,0.0250086151822394
"Sc5","Ku",0.941972222222222,0.0120023989309387,0.0118111111111111,0.0130010632433227
"Sc8","Ku",0.947708823529412,0.00817225928365637,0.00702450980392159,0.00801821689601028
"Ap,Pk,Sp,Zb","Lt",0.40655,0.083902219875281,0.3454,0.105841662401911
"Ap,Pk,Sc5,Sp,Zb","Lt",0.9578,0.00394239774756431,-0.000916666666666677,0.000301385688667052
"Ap,Pk,Sc8,Sp,Zb","Lt",0.954866666666667,0.000548482755730148,0.0012833333333333,0.00485137437571391
"Ap,Sp,Td,Wa","Lt",0.698416666666667,0.025194460369957,0.227941666666667,0.0197192534933079
"Ap,Sc5,Sp,Td,Wa","Lt",0.9604,0.00144222051018562,-0.00467499999999998,0.00682930267304066
"Ap,Sc8,Sp,Td,Wa","Lt",0.960416666666667,0.00144597141511623,-0.02185,0.00361671466942021
"Hop,Td,Wa,Zb","Lt",0.5756,0.00316109158361474,0.2036,0.0274357886710041
"Hop,Sc5,Td,Wa,Zb","Lt",0.777933333333333,0.0154624006329332,0.164766666666667,0.0335836393699868
"Hop,Sc8,Td,Wa,Zb","Lt",0.851,0.00768976592621647,0.0484,0.0188565638439244
"Ap,Mp,Sp,Zb","Lt",0.535833333333333,0.0526564415179505,0.186383333333333,0.0728741437914253
"Ap,Mp,Sc5,Sp,Zb","Lt",0.92475,0.0290017671875353,0.0108333333333333,0.00390170902725119
"Ap,Mp,Sc8,Sp,Zb","Lt",0.937666666666667,0.0172016229854433,0.0134666666666667,0.0146376512232438
"Ap,Mp,Pk,Sp","Lt",0.413333333333333,0.0447209775534182,0.267083333333333,0.0262035461976683
"Ap,Mp,Pk,Sc5,Sp","Lt",0.840633333333333,0.0142023178859414,-0.0125166666666667,0.0211461777476056
"Ap,Mp,Pk,Sc8,Sp","Lt",0.847916666666667,0.0127555216801719,0.0907333333333333,0.0162300903673804
"Hop,Pk,Sp,Wa,Zb","Lt",0.71805,0.0275363396260287,0.0127,0.00889536396107538
