"community","fun"
"Ap,Hop,Sc8,Zb",0.84451074859846
"Ap,Hop,Sp,Td",0.782301444648765
"Ap,Hop,Sp,Wa",0.711867684483878
"Ap,Hop,Sp,Zb",0.768723395550441
"Ap,Hop,Td,Wa",0.588413581271391
"Ap,Hop,Td,Zb",0.678033916826464
"Ap,Hop,Wa,Zb",0.488634509444619
"Ap,Ku,Lt,Mp",0.734980021729672
"Ap,Ku,Lt,Pk",0.731169197817363
"Ap,Ku,Lt,Sc5",0.862854236674583
"Ap,Ku,Lt,Sc8",0.86932733259334
"Ap,Ku,Lt,Td",0.800461107470701
"Ap,Ku,Lt,Wa",0.759116249054983
"Ap,Ku,Lt,Zb",0.80017902613514
"Ap,Ku,Mp,Pk",0.283249285300037
"Ap,Ku,Mp,Sc5",0.749376908162864
"Ap,Ku,Mp,Sc8",0.777622159690968
"Ap,Ku,Mp,Sp",0.623696240401048
"Ap,Ku,Mp,Td",0.516024733319936
"Ap,Ku,Mp,Wa",0.273028875299623
"Ap,Ku,Mp,Zb",0.44096596201616
"Ap,Ku,Pk,Sc5",0.745381826262656
"Ap,Ku,Pk,Sc8",0.772425809603684
"Ap,Ku,Pk,Sp",0.624301590285152
"Ap,Ku,Pk,Td",0.520644722366021
"Ap,Ku,Pk,Wa",0.288390772720741
"Ap,Ku,Pk,Zb",0.44975252951115
"Ap,Ku,Sc5,Sc8",0.882193201170659
"Ap,Ku,Sc5,Sp",0.836518773452205
"Ap,Ku,Sc5,Td",0.80939176001606
"Ap,Ku,Sc5,Wa",0.782840337041488
"Ap,Ku,Sc5,Zb",0.821948473027475
"Ap,Ku,Sc8,Sp",0.849492521982292
"Ap,Ku,Sc8,Td",0.826393054180747
"Ap,Ku,Sc8,Wa",0.810089301851006
"Ap,Ku,Sc8,Zb",0.840849352475672
"Ap,Ku,Sp,Td",0.735269715755218
"Ap,Ku,Sp,Wa",0.639443053227094
"Ap,Ku,Sp,Zb",0.712052624688742
"Ap,Ku,Td,Wa",0.529795344621888
"Ap,Ku,Td,Zb",0.63068153838247
"Ap,Ku,Wa,Zb",0.459531936134162
"Ap,Lt,Mp,Pk",0.669476247139565
"Ap,Lt,Mp,Sc5",0.835055721869452
"Ap,Lt,Mp,Sc8",0.841830933426473
"Ap,Lt,Mp,Sp",0.813282923030228
"Ap,Lt,Mp,Td",0.763662969399647
"Ap,Lt,Mp,Wa",0.722369404504661
"Ap,Lt,Mp,Zb",0.768492351334139
"Ap,Lt,Pk,Sc5",0.832763410003531
"Ap,Lt,Pk,Sc8",0.83811515831117
"Ap,Lt,Pk,Sp",0.811817860109202
"Ap,Lt,Pk,Td",0.766631305221976
"Ap,Lt,Pk,Wa",0.735382111816212
"Ap,Lt,Pk,Zb",0.776304169248029
"Ap,Lt,Sc5,Sc8",0.903697748439443
"Ap,Lt,Sc5,Sp",0.889462859483603
"Ap,Lt,Sc5,Td",0.871157507741657
"Ap,Lt,Sc5,Wa",0.876320582912739
"Ap,Lt,Sc5,Zb",0.891512891346684
"Ap,Lt,Sc8,Sp",0.890775299204442
"Ap,Lt,Sc8,Td",0.873973485657388
"Ap,Lt,Sc8,Wa",0.878134253997217
"Ap,Lt,Sc8,Zb",0.892607762040649
"Ap,Lt,Sp,Td",0.854604036299447
"Ap,Lt,Sp,Wa",0.854787629113926
"Ap,Lt,Sp,Zb",0.872706595461216
"Ap,Lt,Td,Wa",0.813609598406287
"Ap,Lt,Td,Zb",0.8398906698366
"Ap,Lt,Wa,Zb",0.838460153848185
"Ap,Mp,Pk,Sc5",0.7152194831275
"Ap,Mp,Pk,Sc8",0.752964790255011
"Ap,Mp,Pk,Sp",0.617458263973175
"Ap,Mp,Pk,Td",0.493003242869638
"Ap,Mp,Pk,Wa",0.20325656448899
"Ap,Mp,Pk,Zb",0.358759112157
"Ap,Mp,Sc5,Sc8",0.871388015972386
"Ap,Mp,Sc5,Sp",0.82649317455264
"Ap,Mp,Sc5,Td",0.788333341453062
